age,height_cm,weight_kg,potential,international_reputation,weak_foot,shooting,passing,dribbling,defending,physic,value_eur
31,189,90,82,3,3,63,66,64,82,79,15000000
31,169,67,82,3,2,67,81,82,72,68,19000000
29,181,74,82,2,3,76,82,79,72,73,21500000
31,187,77,82,3,3,46,60,60,83,79,15000000
29,188,81,82,3,3,74,77,78,75,82,21500000
29,185,81,82,3,3,64,73,72,85,79,17000000
31,192,88,82,3,3,82,71,73,42,79,20000000
31,195,85,82,3,2,41,54,54,85,83,15000000
32,192,84,82,3,3,51,67,66,81,83,12500000
32,190,90,82,3,3,53,54,60,81,87,12500000
29,184,80,82,2,3,57,66,68,82,83,17000000
33,184,75,82,2,4,76,76,76,79,80,9000000
30,180,76,82,2,4,83,82,82,46,70,21500000
28,182,80,82,2,3,70,83,75,77,78,18000000
30,173,66,82,3,2,72,80,84,41,56,21000000
29,192,83,82,3,4,79,77,81,47,81,22000000
31,163,61,82,2,4,80,79,87,27,57,20000000
32,187,83,82,2,3,70,81,76,81,81,12500000
27,178,72,82,2,4,58,82,76,79,72,18500000
30,174,69,82,2,4,78,79,87,48,66,21000000
30,172,64,82,2,3,79,75,86,47,65,21000000
28,181,75,82,3,3,77,82,83,72,71,22000000
30,169,65,82,3,5,77,77,84,43,56,21000000
29,188,77,82,3,4,75,83,84,56,63,21500000
28,182,70,82,3,4,72,79,80,78,76,22000000
28,174,66,82,2,3,59,70,77,84,79,18000000
27,187,80,82,2,3,62,73,77,81,79,18500000
27,178,67,82,2,4,66,79,86,63,62,23000000
28,170,64,82,2,4,75,81,84,61,69,22500000
30,192,88,82,2,3,50,58,57,85,80,16500000
27,175,74,82,2,3,66,76,82,82,80,23000000
28,172,63,82,2,4,79,75,83,47,63,22500000
29,186,82,82,2,3,77,80,82,47,73,21500000
31,181,77,82,3,2,79,65,79,33,71,20000000
31,179,74,82,3,3,81,63,77,54,77,20000000
34,181,82,82,1,3,61,57,62,82,80,6500000
30,175,70,82,1,4,57,74,77,82,74,16500000
20,185,70,89,2,4,80,74,83,40,72,26500000
22,171,69,88,3,2,62,76,82,76,69,21000000
23,185,85,87,2,3,52,76,78,77,79,20500000
25,182,76,87,2,3,74,73,76,79,83,20500000
24,182,74,87,2,3,64,77,81,77,71,20500000
24,186,79,87,2,3,78,73,80,41,79,24500000
24,175,70,86,3,4,63,77,81,77,70,20000000
24,178,64,86,1,2,59,72,77,77,73,20000000
22,178,67,86,1,3,75,80,79,71,70,24000000
25,167,59,85,2,3,72,78,86,32,52,23000000
26,182,78,85,2,2,40,59,63,80,80,19000000
24,185,78,85,2,5,81,59,78,33,72,23500000
24,182,70,85,2,4,51,68,76,79,76,19000000
22,189,70,85,1,3,77,76,80,74,68,23000000
25,176,76,84,2,3,62,74,77,78,79,18500000
25,185,82,84,3,2,65,79,71,69,76,22000000
26,181,76,84,2,3,55,74,75,78,78,18000000
24,177,74,84,2,4,80,74,80,56,77,22500000
25,188,83,84,2,2,32,62,54,82,74,18500000
25,190,85,84,2,3,40,67,63,81,77,18500000
25,182,76,84,2,3,58,76,76,79,75,18500000
25,170,69,84,1,4,78,61,78,25,72,22500000
25,179,73,84,3,4,69,79,82,64,69,22500000
25,178,72,83,3,2,76,71,84,42,58,21500000
25,173,62,83,3,5,72,74,88,46,51,21500000
26,195,90,83,2,2,46,68,65,82,77,18000000
25,179,81,83,2,3,81,78,79,41,83,22000000
24,177,73,83,3,4,70,75,87,30,56,22000000
25,174,69,83,2,3,74,79,85,39,65,21500000
28,194,81,82,3,3,47,55,58,81,82,16000000
26,169,72,82,3,4,77,80,85,46,70,21000000
28,188,84,82,2,4,40,59,62,81,79,16000000
26,174,70,82,2,4,75,82,84,42,55,21000000
27,184,80,82,2,4,64,77,78,78,76,16500000
27,191,76,82,2,3,47,71,73,78,76,17000000
34,189,84,81,3,2,64,72,62,84,82,5500000
32,175,70,81,2,4,70,82,76,76,78,13500000
33,174,69,81,2,4,77,80,86,44,63,11000000
32,189,89,81,3,4,80,62,72,36,77,14000000
28,183,72,81,3,4,73,73,75,78,80,17500000
32,176,75,81,2,4,76,79,84,66,72,14000000
32,184,77,81,3,3,82,65,75,36,73,14000000
33,175,73,81,3,4,69,84,84,66,64,11000000
31,170,61,81,3,4,76,81,80,70,70,15000000
32,193,86,81,3,3,58,53,59,83,76,10000000
33,191,81,81,3,2,38,50,52,81,83,7000000
30,186,86,81,2,4,73,79,79,71,72,16500000
29,177,77,81,3,2,79,77,82,32,65,17500000
31,183,75,81,2,3,61,78,72,80,79,11500000
31,180,70,81,3,4,79,78,81,61,71,15500000
33,184,79,81,3,4,68,74,73,81,79,7000000
31,186,86,81,3,4,79,78,80,70,76,15000000
31,183,73,81,2,3,78,85,82,45,61,15500000
31,172,70,81,3,3,81,75,77,43,68,16000000
33,167,63,81,3,3,75,80,83,34,50,11000000
29,186,80,81,2,4,51,61,60,83,79,14000000
30,188,77,81,3,3,47,62,62,82,74,13000000
31,191,85,81,2,2,49,61,58,81,88,12000000
30,178,73,81,3,5,73,80,82,64,71,16500000
30,187,84,81,2,3,80,63,72,35,81,17000000
29,179,70,81,3,4,70,78,87,42,62,17500000
34,184,73,81,3,3,71,79,72,79,71,8500000
28,186,82,81,3,4,80,84,79,56,70,18000000
29,181,80,81,2,4,81,79,79,59,72,18000000
28,187,80,81,1,4,82,70,76,32,73,18500000
28,179,74,81,2,3,68,80,80,78,67,17500000
31,180,85,81,4,3,86,76,79,48,88,15500000
30,190,91,81,2,4,71,75,70,79,80,13000000
27,172,77,81,2,4,77,75,84,58,71,18500000
29,191,89,81,2,3,55,66,54,82,84,14000000
30,171,65,81,3,4,47,68,69,81,85,13000000
25,171,61,81,2,5,73,81,85,48,55,19500000
29,171,71,81,2,4,71,81,78,71,72,17000000
27,170,68,81,2,5,78,74,84,39,61,19000000
28,185,79,81,2,4,76,78,81,41,76,18000000
30,190,79,81,3,3,82,80,81,43,63,17000000
27,196,85,81,2,3,49,64,65,82,81,15000000
30,180,70,81,1,4,77,75,83,57,64,17000000
30,171,63,81,1,5,72,77,83,26,51,17000000
18,188,89,91,2,4,58,66,65,80,82,20500000
22,176,66,88,1,3,53,71,73,79,68,18500000
24,186,78,87,3,3,83,62,74,39,74,21000000
24,180,75,87,3,5,70,79,83,69,59,20500000
21,181,78,87,1,3,75,78,82,38,58,21000000
21,180,76,87,1,4,74,81,79,62,65,21000000
23,171,68,86,1,4,80,71,86,54,59,20500000
24,187,80,86,2,3,34,46,63,83,75,17500000
22,175,70,86,3,4,75,72,82,41,64,20500000
22,186,72,86,3,3,47,74,76,77,68,17500000
22,175,70,86,1,3,74,79,81,64,70,20000000
22,186,76,86,1,3,46,71,70,81,75,17500000
24,177,67,86,2,3,57,67,80,73,72,17000000
24,175,70,85,2,4,73,78,84,66,75,19500000
23,178,74,85,3,3,51,69,77,75,66,16500000
25,193,78,85,2,3,39,58,64,82,76,16500000
24,180,75,85,2,4,67,81,79,72,73,0
24,184,82,85,2,4,68,77,77,80,83,19500000
23,180,73,85,2,4,74,79,78,73,76,19500000
24,188,84,85,3,4,69,77,77,73,81,19500000
22,181,77,85,1,4,78,68,80,51,73,20000000
22,174,68,85,2,3,76,77,82,30,56,20000000
23,181,80,85,2,4,76,72,83,29,70,20000000
23,189,85,85,2,3,48,69,74,78,82,17000000
24,180,76,85,1,4,81,62,75,45,82,20000000
22,174,76,85,1,3,76,75,80,47,73,20000000
21,183,74,85,1,4,63,65,73,83,82,17000000
21,186,84,85,1,3,81,65,72,31,74,20500000
24,188,90,84,2,3,63,72,65,82,86,16500000
24,178,76,84,3,4,75,83,84,59,60,19500000
24,182,72,84,2,4,73,80,82,59,69,19500000
24,165,62,84,2,3,67,74,86,50,57,19500000
24,175,63,84,1,2,74,75,80,48,63,19500000
25,169,63,83,2,3,71,73,85,51,56,18500000
25,180,77,83,3,3,67,79,76,78,75,15500000
25,192,81,83,1,4,43,67,66,80,77,15500000
25,183,85,83,2,2,62,65,70,77,87,15500000
25,181,68,83,2,4,73,80,80,74,72,15500000
24,171,67,83,2,4,75,74,83,29,50,19000000
26,188,85,83,1,3,40,51,50,81,81,15500000
27,184,87,82,2,3,65,69,73,80,88,14500000
26,172,68,82,3,2,68,80,81,63,69,17500000
26,194,85,82,2,3,57,71,67,80,80,15000000
26,184,82,82,3,3,79,71,79,36,83,18000000
25,182,81,82,2,4,63,76,76,76,80,15000000
25,181,79,82,2,3,81,75,78,39,75,18500000
24,188,83,82,2,3,58,68,65,82,76,15500000
26,184,80,81,2,2,77,80,82,47,68,17500000
28,187,83,81,3,2,33,63,55,78,84,13500000
28,183,75,81,2,3,60,70,69,81,79,13500000
27,175,67,81,2,2,61,70,77,79,71,13500000
26,182,74,81,2,4,73,76,85,37,56,17500000
27,182,74,81,2,3,70,71,73,79,78,13500000
27,183,78,81,2,4,80,66,77,36,74,17500000
27,174,72,81,2,3,40,70,74,76,77,13500000
26,185,71,81,2,3,53,62,61,80,77,14500000
27,179,79,81,2,4,75,68,84,27,72,17500000
26,185,72,81,1,3,84,69,77,34,67,17500000
25,199,98,81,2,4,49,62,47,82,79,14500000
26,178,70,81,1,4,77,75,81,60,75,17500000
25,164,60,81,2,4,69,75,84,38,45,17500000
26,187,81,81,2,3,68,77,81,76,76,14500000
25,185,74,81,2,4,79,68,80,27,69,18000000
26,172,69,81,2,3,74,79,84,66,81,17500000
35,188,90,80,4,4,79,79,74,67,77,6000000
34,186,79,80,3,4,77,71,77,32,67,8000000
32,176,83,80,4,4,81,81,75,55,76,12000000
34,182,76,80,3,3,58,72,76,79,74,4200000
33,183,79,80,4,3,75,80,73,77,74,8500000
31,177,68,80,3,5,76,78,86,35,62,13000000
36,178,72,80,3,3,75,85,75,77,74,1700000
34,174,73,80,4,3,53,71,68,80,77,4500000
33,168,66,80,3,5,74,85,83,60,54,8500000
33,181,71,80,3,3,58,74,77,76,76,5500000
34,176,70,80,2,3,65,73,75,78,75,4500000
32,175,65,80,2,3,68,79,78,74,70,8000000
32,187,91,80,3,3,82,71,71,43,82,12000000
33,192,84,80,2,4,58,59,55,82,78,0
34,188,85,80,3,4,52,67,63,81,74,4500000
32,181,80,80,2,3,58,69,67,81,77,8500000
35,180,79,80,2,4,85,72,77,30,67,7000000
33,174,74,80,3,3,52,70,77,77,74,6000000
31,183,79,80,2,3,64,65,68,84,73,10000000
27,174,76,80,3,3,62,73,77,79,76,12000000
30,175,72,80,2,3,71,79,78,76,73,13500000
31,184,84,80,2,3,80,77,79,72,80,13000000
28,180,76,80,3,2,81,68,78,23,63,15500000
32,178,75,80,2,3,82,79,78,40,66,11500000
31,184,81,80,2,4,73,80,82,56,71,13000000
33,180,76,80,2,4,81,74,85,56,76,9000000
32,177,73,80,2,3,70,77,79,71,74,11000000
31,177,76,80,2,3,74,82,74,66,73,12500000
32,179,72,80,2,3,60,71,74,80,70,8000000
31,172,68,80,1,3,81,63,80,34,65,13500000
31,175,69,80,2,3,69,76,76,76,73,9500000
28,180,81,80,3,3,77,68,80,32,69,15500000
29,177,67,80,2,3,65,73,77,80,73,11000000
28,183,79,80,3,4,80,77,82,35,67,15500000
28,174,78,80,2,3,70,76,80,77,74,11500000
31,186,72,80,1,3,79,69,76,48,78,13500000
27,180,73,80,3,3,47,63,67,83,74,12500000
28,179,75,80,3,3,74,78,78,70,70,14500000
28,177,74,80,2,4,77,81,80,41,62,15000000
28,184,77,80,3,3,44,65,71,80,72,12000000
30,179,68,80,2,3,71,84,83,41,63,14000000
28,183,82,80,1,3,38,61,65,80,79,12000000
28,174,69,80,3,3,74,79,84,41,56,15000000
28,186,79,80,1,4,80,62,76,38,75,15500000
28,179,75,80,2,4,76,78,84,57,71,15000000
28,180,77,80,2,3,82,77,81,49,72,15000000
28,190,83,80,3,3,80,78,83,42,71,15000000
28,181,77,80,2,4,77,70,76,43,79,15500000
28,184,83,80,2,3,68,76,72,80,81,12000000
30,182,80,80,2,4,76,78,80,71,75,10500000
29,184,76,80,3,3,40,59,60,82,78,11500000
29,181,76,80,3,2,69,81,83,39,63,14500000
31,175,72,80,3,3,78,76,80,45,67,13000000
26,178,65,80,2,4,73,75,81,38,58,16000000
29,186,76,80,2,4,63,77,74,77,73,11500000
28,187,80,80,3,2,60,69,66,79,78,12000000
28,184,80,80,3,3,75,72,85,34,68,15000000
30,182,71,80,1,4,79,73,82,39,70,14000000
30,169,63,80,1,3,71,75,86,47,57,14000000
28,191,83,80,1,2,49,61,58,81,77,12000000
28,181,76,80,1,3,61,72,69,78,80,12000000
28,187,81,80,1,3,54,59,58,80,84,12000000
27,186,83,80,2,3,80,61,64,42,88,16000000
34,177,75,80,1,4,62,74,76,78,77,4500000
30,178,69,80,1,4,54,76,78,75,74,10500000
21,176,72,89,2,5,79,80,77,68,70,20000000
19,177,69,88,3,4,69,71,85,36,58,19000000
19,188,82,88,1,3,64,76,80,38,59,19000000
21,180,80,87,2,3,70,80,74,70,74,18500000
23,184,73,87,1,3,48,73,70,76,71,16000000
21,175,66,87,2,3,72,70,85,35,63,18500000
24,176,69,86,2,3,72,80,83,59,59,17500000
24,182,75,86,1,3,64,75,80,78,71,15000000
22,178,68,86,2,4,68,76,82,63,69,17500000
20,175,79,86,1,4,77,60,78,37,81,18000000
21,176,68,86,1,3,75,72,81,43,73,18000000
20,177,69,86,1,4,71,76,80,47,56,18000000
23,178,70,85,1,4,72,76,80,39,67,17500000
22,180,74,85,1,4,75,70,81,34,65,17500000
23,187,80,85,2,3,48,71,69,78,76,14500000
22,180,69,85,1,4,72,76,84,67,68,17000000
21,185,83,85,2,3,55,66,70,79,85,15000000
24,175,72,84,2,4,78,62,75,37,63,17000000
26,184,78,84,1,3,46,73,69,80,72,14000000
22,181,75,84,2,2,54,72,79,76,74,14000000
22,181,73,84,2,1,72,73,84,43,68,17000000
23,180,75,84,1,3,52,69,70,79,74,14500000
23,172,66,84,2,3,61,76,78,72,68,14000000
23,187,78,84,2,2,71,76,81,68,72,16500000
23,173,63,84,1,4,75,75,81,42,58,17000000
23,179,70,84,1,4,65,72,73,78,81,14500000
22,186,83,84,1,3,54,73,74,78,83,14500000
24,183,79,84,2,4,80,71,83,43,65,17000000
24,179,70,84,1,3,72,72,80,43,74,17000000
24,180,71,83,2,3,64,77,78,65,66,16000000
23,186,79,83,1,2,39,59,62,79,77,14000000
24,170,70,83,2,3,45,67,74,78,73,13500000
23,173,70,83,2,4,73,71,86,32,63,16500000
22,173,68,83,2,4,59,79,84,65,66,16000000
26,181,72,82,1,3,76,79,76,67,68,15500000
24,189,76,82,2,5,72,76,81,54,73,16000000
24,193,87,82,2,3,80,73,74,40,71,16000000
26,185,79,82,2,3,80,68,75,43,76,16000000
25,179,70,82,1,3,73,79,77,73,72,15500000
25,182,76,82,2,3,70,76,77,75,75,13000000
24,170,62,82,2,4,66,75,84,54,62,16000000
25,179,70,82,2,3,78,73,74,66,74,15500000
26,182,70,82,2,3,73,79,80,66,69,15500000
25,181,72,82,2,3,76,69,79,33,63,16000000
25,191,82,82,2,3,49,63,66,79,77,13500000
25,171,65,82,2,2,55,68,75,77,73,13000000
25,184,79,82,2,3,77,59,76,29,76,16000000
25,184,77,82,2,2,35,51,59,81,75,13500000
25,172,66,82,2,4,64,73,85,35,51,16000000
24,185,78,82,1,3,78,69,80,36,81,16000000
27,186,81,81,1,3,49,47,56,80,73,12500000
25,186,82,81,2,4,77,77,75,70,73,15000000
